"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y56","56 anni","99","totale","2020","2020",712,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y57","57 anni","99","totale","2020","2020",674,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y58","58 anni","99","totale","2020","2020",640,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y59","59 anni","99","totale","2020","2020",660,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y60","60 anni","99","totale","2020","2020",640,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y61","61 anni","99","totale","2020","2020",646,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y62","62 anni","99","totale","2020","2020",588,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y63","63 anni","99","totale","2020","2020",536,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y64","64 anni","99","totale","2020","2020",563,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y65","65 anni","99","totale","2020","2020",492,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y66","66 anni","99","totale","2020","2020",487,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y67","67 anni","99","totale","2020","2020",529,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y68","68 anni","99","totale","2020","2020",483,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y69","69 anni","99","totale","2020","2020",555,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y70","70 anni","99","totale","2020","2020",492,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y71","71 anni","99","totale","2020","2020",559,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y72","72 anni","99","totale","2020","2020",505,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y73","73 anni","99","totale","2020","2020",531,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y74","74 anni","99","totale","2020","2020",405,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y75","75 anni","99","totale","2020","2020",438,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y76","76 anni","99","totale","2020","2020",433,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y77","77 anni","99","totale","2020","2020",422,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y78","78 anni","99","totale","2020","2020",411,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y79","79 anni","99","totale","2020","2020",440,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y80","80 anni","99","totale","2020","2020",461,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y81","81 anni","99","totale","2020","2020",404,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y82","82 anni","99","totale","2020","2020",370,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y83","83 anni","99","totale","2020","2020",305,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y84","84 anni","99","totale","2020","2020",319,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y85","85 anni","99","totale","2020","2020",278,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y86","86 anni","99","totale","2020","2020",239,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y87","87 anni","99","totale","2020","2020",227,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y88","88 anni","99","totale","2020","2020",224,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y89","89 anni","99","totale","2020","2020",198,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y90","90 anni","99","totale","2020","2020",169,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y91","91 anni","99","totale","2020","2020",116,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y92","92 anni","99","totale","2020","2020",105,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y93","93 anni","99","totale","2020","2020",83,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y94","94 anni","99","totale","2020","2020",72,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y95","95 anni","99","totale","2020","2020",52,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y96","96 anni","99","totale","2020","2020",36,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y97","97 anni","99","totale","2020","2020",27,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y98","98 anni","99","totale","2020","2020",16,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y99","99 anni","99","totale","2020","2020",15,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y_GE100","100 anni e più","99","totale","2020","2020",12,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",44928,,
